"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","一個月走勢圖","三個月走勢圖","一年走勢圖","三年走勢圖"
"0050","元大台灣50","市","05/02","","117.7","+0.3","+0.26","5,573","656","117.4","117.45","118","117.1","0.77","","","    ","    ","    ","    "
"0051","元大中型100","市","05/02","","57.9","+0.5","+0.87","30","1.76","57.4","57.5","57.9","57.45","0.78","","","    ","    ","    ","    "
"0052","富邦科技","市","05/02","","100.7","+0.4","+0.4","177","17.8","100.3","100.35","101","100","1","","","    ","    ","    ","    "
"0053","元大電子","市","05/02","","58.75","+0.3","+0.51","9","0.53","58.45","58.55","58.75","58.5","0.43","","","    ","    ","    ","    "
"0055","元大MSCI金融","市","05/02","","22.39","+0.08","+0.36","104","2.33","22.31","22.32","22.4","22.32","0.36","","","    ","    ","    ","    "
"0056","元大高股息","市","05/02","","28.44","+0.21","+0.74","14,077","399","28.23","28.25","28.44","28.2","0.85","","","    ","    ","    ","    "
"0057","富邦摩台","市","05/02","","85.35","+0.2","+0.23","1","0.09","85.15","85.35","85.35","85.35","0","","","    ","    ","    ","    "
"0061","元大寶滬深","市","05/02","","19.1","0","0","70","1.33","19.1","19.1","19.23","19.07","0.84","","","    ","    ","    ","    "
"006201","元大富櫃50","櫃","05/02","","18.08","+0.2","+1.12","30","0.55","17.88","18","18.17","18","0.95","","","    ","    ","    ","    "
"006203","元大MSCI台灣","市","05/02","","56.8","0","0","4","0.25","56.8","56.8","56.95","56.8","0.26","","","    ","    ","    ","    "
"006204","永豐臺灣加權","市","05/02","","78.7","+0.45","+0.58","25","2","78.25","78.25","78.75","78.25","0.64","","","    ","    ","    ","    "
"006205","富邦上証","市","05/02","","32.15","+0.02","+0.06","1,682","54","32.13","32.16","32.3","32.02","0.87","","","    ","    ","    ","    "
"006206","元大上證50","市","05/02","","30.34","-0.08","-0.26","78","2.36","30.42","30.6","30.64","30.33","1.02","","","    ","    ","    ","    "
"006207","復華滬深","市","05/02","","25.21","+0.05","+0.2","335","8.46","25.16","25.16","25.27","25.16","0.44","","","    ","    ","    ","    "
"006208","富邦台50","市","05/02","","68.05","+0.1","+0.15","3,498","238","67.95","68","68.25","67.75","0.74","","","    ","    ","    ","    "
"00625K","富邦上証+R","市","05/02","","7.23","0","0","0","0","7.12","7.23","7.23","7.23","0","","","    ","    ","    ","    "
"00631L","元大台灣50正2","市","05/02","","113.75","+0.9","+0.8","2,814","319","112.85","113.05","114.15","112.55","1.42","","","    ","    ","    ","    "
"00632R","元大台灣50反1","市","05/02","","5.28","-0.03","-0.56","94,564","500","5.31","5.3","5.31","5.27","0.75","","","    ","    ","    ","    "
"00633L","富邦上証正2","市","05/02","","38.82","+0.08","+0.21","4,641","180","38.74","38.9","39.43","38.46","2.5","","","    ","    ","    ","    "
"00634R","富邦上証反1","市","05/02","","4.44","-0.01","-0.22","605","2.68","4.45","4.41","4.45","4.41","0.9","","","    ","    ","    ","    "
"00635U","期元大S&P黃金","市","05/02","","25.09","-0.04","-0.16","560","14","25.13","25.08","25.11","25.06","0.2","","","    ","    ","    ","    "
"00636","國泰中國A50","市","05/02","","21.61","+0.01","+0.05","1,099","23.7","21.6","21.6","21.77","21.51","1.2","","","    ","    ","    ","    "
"00636K","國泰中國A50+U","市","05/02","","7.02","-0.04","-0.57","0","0","7.06","7.02","7.02","7.02","0","","","    ","    ","    ","    "
"00637L","元大滬深300正2","市","05/02","","15.3","+0.02","+0.13","42,172","646","15.28","15.34","15.54","15.17","2.42","","","    ","    ","    ","    "
"00638R","元大滬深300反1","市","05/02","","9.39","+0.02","+0.21","360","3.38","9.37","9.37","9.43","9.32","1.17","","","    ","    ","    ","    "
"00639","富邦深100","市","05/02","","12.69","-0.02","-0.16","998","12.6","12.71","12.75","12.78","12.65","1.02","","","    ","    ","    ","    "
"00640L","富邦日本正2","市","05/02","","32.7","+0.73","+2.28","444","14.5","31.97","32.56","32.79","32.5","0.91","","","    ","    ","    ","    "
"00641R","富邦日本反1","市","05/02","","8.92","-0.11","-1.22","2,136","19.1","9.03","8.95","8.96","8.91","0.55","","","    ","    ","    ","    "
"00642U","期元大S&P石油","市","05/02","","16.03","+0.13","+0.82","3,056","49","15.9","16.03","16.05","16","0.31","","","    ","    ","    ","    "
"00643","群益深証中小","市","05/02","","14.77","0","0","566","8.37","14.77","14.8","14.85","14.74","0.74","","","    ","    ","    ","    "
"00643K","群益深証中小+R","市","05/02","","3.3","0","0","0","0","3.29","3.3","3.3","3.3","0","","","    ","    ","    ","    "
"00645","富邦日本","市","05/02","","27.9","+0.26","+0.94","221","6.17","27.64","27.8","27.95","27.8","0.54","","","    ","    ","    ","    "
"00646","元大S&P500","市","05/02","","39.57","+0.38","+0.97","542","21.4","39.19","39.45","39.6","39.45","0.38","","","    ","    ","    ","    "
"00647L","元大S&P500正2","市","05/02","","56.95","+1.15","+2.06","193","11","55.8","56.7","56.95","56.6","0.63","","","    ","    ","    ","    "
"00648R","元大S&P500反1","市","05/02","","7.03","-0.06","-0.85","7,046","49.5","7.09","7.03","7.03","7.02","0.14","","","    ","    ","    ","    "
"00650L","復華香港正2","市","05/02","","13.35","+0.05","+0.38","13,087","174","13.3","13.38","13.72","13.04","5.11","","","    ","    ","    ","    "
"00651R","復華香港反1","市","05/02","","8.35","-0.01","-0.12","1,344","11.1","8.36","8.32","8.43","8.23","2.39","","","    ","    ","    ","    "
"00652","富邦印度","市","05/02","","29.93","+0.31","+1.05","370","11.1","29.62","29.89","29.95","29.88","0.24","","","    ","    ","    ","    "
"00653L","富邦印度正2","市","05/02","","43.69","+0.99","+2.32","832","36.3","42.7","43.36","43.78","43.36","0.98","","","    ","    ","    ","    "
"00654R","富邦印度反1","市","05/02","","7.93","-0.09","-1.12","329","2.61","8.02","7.94","7.94","7.91","0.37","","","    ","    ","    ","    "
"00655L","國泰中國A50正2","市","05/02","","27.35","+0.07","+0.26","1,474","40.3","27.28","27.33","27.78","27.08","2.57","","","    ","    ","    ","    "
"00656R","國泰中國A50反1","市","05/02","","8.36","+0.01","+0.12","330","2.76","8.35","8.32","8.4","8.32","0.96","","","    ","    ","    ","    "
